;  [ e-Servicios ]   ;;;;;;;;;;;;;;;;;;
;Búsqueda de centros educativos autorizados por el Mineduc y carreras que pueden impartir.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
       ;;;;;;;;;;;;;;;;;;;
Importante:;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Para una mejor búsqueda puede seleccionar el departamento y municipio, con base a la ubicación del centro educativo, ingresando el código del establecimiento separado por guiones o el nombre completo o parte de él.;;;;;;;;;;;;;;;;;;;
Un centro educativo puede contar con uno o más códigos de acuerdo con los servicios educativos autorizados (nivel, plan o jornada).;;;;;;;;;;;;;;;;;;;
Las carreras pueden visualizarse únicamente en los códigos de centros educativos que tienen autorizado el Nivel de Educación Media, Ciclo de Educación Diversificada.;;;;;;;;;;;;;;;;;;;
Para visualizar las carreras autorizadas a un centro educativo seleccione el Nivel Escolar: Diversificado.;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Departamento;Municipio;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Nivel Escolar ;;;;;;;;;;;;;;;;;;;
Sector;;;;;;;;;;;;;;;;;;;
Plan;Modalidad;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Código (##-##-####-##);;;;;;;;;;;;;;;;;;;
Nombre;;;;;;;;;;;;;;;;;;;
Dirección;;;;;;;;;;;;;;;;;;;
  ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
CODIGO;;DISTRITO;DEPARTAMENTO;MUNICIPIO;ESTABLECIMIENTO;DIRECCION;TELEFONO;SUPERVISOR;DIRECTOR;NIVEL;SECTOR;AREA;STATUS;MODALIDAD;JORNADA;PLAN;DEPARTAMENTAL;;
11-01-0082-46;;11-01-0516;RETALHULEU;RETALHULEU;INSTITUTO NACIONAL MIXTO NOCTURNO DE EDUCACION MEDIA;3A CALLE 6-49 ZONA 4;53494788;MARILYN ISABEL INESTROZA DURÓN;JUAN DE DIOS RODAS HERNÁNDEZ;DIVERSIFICADO;OFICIAL;URBANA;ABIERTA;MONOLINGUE;NOCTURNA;DIARIO(REGULAR);RETALHULEU;;
11-01-0084-46;;11-01-0518;RETALHULEU;RETALHULEU;"CENTRO EDUCATIVO ""JUAN PABLO II""";7A. CALLE 4-47, ZONA 1;77710490;ROSELVA SOFIA OVALLE BARRIOS;PEDRO EDUARDO CHAVEZ ESCOBAR;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);RETALHULEU;;
11-01-0101-46;;11-01-0524;RETALHULEU;RETALHULEU;INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA;CENTRO URBANO PARCELAMIENTO CABALLO BLANCO;36241279;JAQUELINE FERNANDA VELÁSQUEZ MAZARIEGOS;EMERSON IVAN GRIJALVA CORONADO;DIVERSIFICADO;OFICIAL;RURAL;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);RETALHULEU;;
11-01-0110-46;;11-01-0522;RETALHULEU;RETALHULEU;INSTITUTO TECNICO DE CAPACITACION Y PRODUCTIVIDAD -INTECAP-;KM. 192 CARRETERA A CHAMPERICO;76008600;KARINA ELIZABETH MORALES REYES;ERNESTO JOAQUÍN LÓPEZ SARTI;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;DIARIO(REGULAR);RETALHULEU;;
11-01-0120-46;;11-01-0518;RETALHULEU;RETALHULEU;COLEGIO CENTRO EDUCATIVO RETALTECO DE FORMACION INTEGRAL;8A. AVENIDA. 8-01 ZONA 1;59842385;ROSELVA SOFIA OVALLE BARRIOS;JORGE LUIS DÍAZ DE LEÓN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;RETALHULEU;;
11-01-0126-46;;11-01-0519;RETALHULEU;RETALHULEU;INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU;5A. AVENIDA 6-49 ZONA 1;;MARIO RENE RIVERA ARGUETA;MIGUEL ANGEL PISQUIY QUIXTAN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;VESPERTINA;DIARIO(REGULAR);RETALHULEU;;
11-01-0127-46;;11-01-0519;RETALHULEU;RETALHULEU;INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS DE RETALHULEU;5A. AVENIDA 6-49 ZONA 1;;MARIO RENE RIVERA ARGUETA;MIGUEL ANGEL PISQUIY QUIXTAN;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;MATUTINA;DIARIO(REGULAR);RETALHULEU;;
11-01-0133-46;;11-01-0514;RETALHULEU;RETALHULEU;COLEGIO MIXTO IDEAS;9A. AVENIDA A, 2-05 RESIDENCIALES ANA LUCIA, ZONA 4;77713771;CONCEPCION ANGELICA DEL CID JUAREZ;ABRAHAM ISAÍAS VELÁSQUEZ LÓPEZ;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;RETALHULEU;;
11-01-0136-46;;11-017;RETALHULEU;RETALHULEU;INSTITUTO PRIVADO MIXTO POETA EDUARDO ORELLANA MATTA;LOTIFICACION PERU, ZONA 4;77716393;MIGUEL ANGEL ARMAS ROCHA;SILVIA RODRÍGUEZ CAYAX;DIVERSIFICADO;PRIVADO;URBANA;CERRADA TEMPORALMENTE;MONOLINGUE;DOBLE;FIN DE SEMANA;RETALHULEU;;
11-01-0137-46;;11-01-0515;RETALHULEU;RETALHULEU;INSTITUTO PRIVADO MIXTO POETA EDUARDO ORELLANA MATTA;LOTIFICACION PERU, ZONA 4;30931824;JIMMY EDILBERTO ORTEGA COLOMO;SILVIA RODRÍGUEZ CAYAX;DIVERSIFICADO;PRIVADO;URBANA;ABIERTA;MONOLINGUE;DOBLE;FIN DE SEMANA;RETALHULEU;;
