similitud,codigo_1,codigo_2,establecimiento_1,establecimiento_2,jornada_1,jornada_2,modalidad_1,modalidad_2,plan_1,plan_2,director_1,director_2,status_1,status_2
100.0,12-02-0131-46,12-02-4727-46,"INSTITUTO PARTICULAR MIXTO ""MINERVA""","INSTITUTO PARTICULAR MIXTO ""MINERVA""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,DEMECIO HERCULANO OROZCO GONZÁLEZ,DEMECIO HERCULANO OROZCO GONZÁLEZ,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,12-01-0170-46,12-01-0171-46,"COLEGIO BILINGÜE ""ADVANCE""","COLEGIO BILINGÜE ""ADVANCE""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,YESENIA AZUCENA GÓMEZ ROMERO,YESENIA AZUCENA GÓMEZ ROMERO,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,09-23-0040-46,09-23-0041-46,COLEGIO IDEA,COLEGIO IDEA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,A DISTANCIA,A DISTANCIA,JORGE LUIS FERNÁNDEZ SOTOVANDO,JORGE LUIS FERNÁNDEZ SOTOVANDO,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,03-15-0011-46,03-15-0013-46,CENTRO EDUCATIVO MIXTO GUATEMALTECO CESAR BRAÑAS,CENTRO EDUCATIVO MIXTO GUATEMALTECO CESAR BRAÑAS,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,FAUSTO RAFAEL HERNÁNDEZ FLORES,FAUSTO RAFAEL HERNÁNDEZ FLORES,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,03-13-0012-46,03-13-0019-46,COLEGIO MIXTO SAN MIGUEL ARCANGEL,COLEGIO MIXTO SAN MIGUEL ARCANGEL,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,LISBETH ESPAÑA MEJÍA,LISBETH ESPAÑA MEJÍA,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,03-12-0034-46,03-12-0035-46,CENTRO DE ESTUDIOS CIUDAD VIEJA,CENTRO DE ESTUDIOS CIUDAD VIEJA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ANA LOURDES ASTURIAS PALENCIA,ANA LOURDES ASTURIAS PALENCIA,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,03-09-0056-46,03-09-0057-46,CENTRO EDUCATIVO BILINGUE FASE,CENTRO EDUCATIVO BILINGUE FASE,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,VIRTUAL A DISTANCIA,VIRTUAL A DISTANCIA,STEPHANIE LUCY VALDEZ GONZÁLEZ,STEPHANIE LUCY VALDEZ GONZÁLEZ,ABIERTA,ABIERTA
100.0,18-04-0405-46,18-04-0406-46,"COLEGIO PRIVADO MIXTO ""JIREH""","COLEGIO PRIVADO MIXTO ""JIREH""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,EDGAR ROLANDO MORALES DE PAZ,EDGAR ROLANDO MORALES DE PAZ,ABIERTA,ABIERTA
100.0,10-12-0009-46,10-12-0010-46,COLEGIO PRIVADO MIXTO INNOVACION EDUCATIVA,COLEGIO PRIVADO MIXTO INNOVACION EDUCATIVA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ANGELICA MARIA SEM XICAY,ANGELICA MARIA SEM XICAY,ABIERTA,ABIERTA
100.0,18-05-0086-46,18-05-0118-46,CENTRO EDUCATIVO MAYA,CENTRO EDUCATIVO MAYA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,HÉCTOR REYNALDO GÓMEZ AGUILAR,HÉCTOR REYNALDO GÓMEZ AGUILAR,ABIERTA,ABIERTA
