similitud,codigo_1,codigo_2,establecimiento_1,establecimiento_2,jornada_1,jornada_2,modalidad_1,modalidad_2,plan_1,plan_2,director_1,director_2,status_1,status_2
100.0,09-01-0336-46,09-01-0337-46,"COLEGIO PRIVADO MIXTO ""JUAN JACOBO ROUSSEAU""","COLEGIO PRIVADO MIXTO ""JUAN JACOBO ROUSSEAU""",MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARLENI AUDELI MEJÍA QUIJIVIX,MARLENI AUDELI MEJÍA QUIJIVIX,ABIERTA,ABIERTA
100.0,16-03-0272-46,16-03-0273-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARÍA JOSÉ BEJARANO YAGGI,MARÍA JOSÉ BEJARANO YAGGI,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,04-01-3253-46,04-01-3254-46,INSTITUTO TECNICO INDUSTRIAL,INSTITUTO TECNICO INDUSTRIAL,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),ASUNCIÓN BOLIVIA MATZER CUXIL,ASUNCIÓN BOLIVIA MATZER CUXIL,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,18-04-0246-46,18-04-0380-46,"""LICEO EDUCACIONAL MIXTO DEI VERBUM""","""LICEO EDUCACIONAL MIXTO DEI VERBUM""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,KARLA MARISOL PIVARAL PÉREZ,KARLA MARISOL PIVARAL PÉREZ,ABIERTA,ABIERTA
100.0,16-01-0587-46,16-01-0588-46,LICEO MIXTO EN COMPUTACION DEL NORTE,LICEO MIXTO EN COMPUTACION DEL NORTE,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,JULIO ROBERTO PERALTA COL,JULIO ROBERTO PERALTA COL,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,10-14-0040-46,10-14-0041-46,"COLEGIO PRIVADO MIXTO ""SABIDURIA Y EXITO""","COLEGIO PRIVADO MIXTO ""SABIDURIA Y EXITO""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ROMEO RODRIGUEZ RUBIO,ROMEO RODRIGUEZ RUBIO,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,10-14-0021-46,10-14-0058-46,"COLEGIO MIXTO ""NUEVO AMANECER""","COLEGIO MIXTO ""NUEVO AMANECER""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ROSANA ISABEL ARAUZ MEDRANO,ROSANA ISABEL ARAUZ MEDRANO,ABIERTA,ABIERTA
100.0,10-13-0049-46,10-13-0051-46,COLEGIO PRIVADO MIXTO PAMAXÁN,COLEGIO PRIVADO MIXTO PAMAXÁN,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,OSCAR RENÉ DE LEÓN CRUZ,OSCAR RENÉ DE LEÓN CRUZ,ABIERTA,ABIERTA
100.0,18-04-0382-46,18-04-0383-46,"COLEGIO PRIVADO MIXTO VOCACIONAL ""MONTEMARIA""","COLEGIO PRIVADO MIXTO VOCACIONAL ""MONTEMARIA""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MANUEL SALVADOR PINTO CABRERA,MANUEL SALVADOR PINTO CABRERA,ABIERTA,ABIERTA
100.0,08-01-0255-46,08-01-0257-46,"COLEGIO PREUNIVERSITARIO ""SAN AGUSTIN""","COLEGIO PREUNIVERSITARIO ""SAN AGUSTIN""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ANDRÉS RAMÓN GARCÍA VÁSQUEZ,ANDRÉS RAMÓN GARCÍA VÁSQUEZ,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,18-04-0138-46,18-04-3261-46,CENTRO EDUCATIVO MAYA SYSTEMS,CENTRO EDUCATIVO MAYA SYSTEMS,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MAJIB JHESSIELL LANDAVERRY VÁSQUEZ,MAJIB JHESSIELL LANDAVERRY VÁSQUEZ,ABIERTA,ABIERTA
100.0,19-01-0086-46,19-01-1012-46,"CENTRO EDUCATIVO JUVENIL CATÓLICO ""NUESTRA SEÑORA DE FÁTIMA""","CENTRO EDUCATIVO JUVENIL CATÓLICO ""NUESTRA SEÑORA DE FÁTIMA""",MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),FIDIAS ROBERTO MONROY LEMUS,FIDIAS ROBERTO MONROY LEMUS,ABIERTA,ABIERTA
100.0,17-13-0126-46,17-13-0154-46,COLEGIO PRIVADO MIXTO JESUS EL DIVINO MAESTRO,COLEGIO PRIVADO MIXTO JESUS EL DIVINO MAESTRO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,GREYSI GUADALUPE PAZ LÓPEZ,GREYSI GUADALUPE PAZ LÓPEZ,ABIERTA,ABIERTA
100.0,17-11-0073-46,17-11-0077-46,CENTRO EDUCATIVO CIENCIA Y TECNOLOGIA,CENTRO EDUCATIVO CIENCIA Y TECNOLOGIA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,WILLIAMS ADELSO HERNANDEZ LOBOS,WILLIAMS ADELSO HERNANDEZ LOBOS,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,18-01-1083-46,18-01-1973-46,COLEGIO BILINGUE PARA SEÑORITAS 'SANTA MARTHA',COLEGIO BILINGUE PARA SEÑORITAS 'SANTA MARTHA',MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),DESCONOCIDO,DESCONOCIDO,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,04-01-2941-46,04-01-2942-46,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN DE CHIMALTENANGO,LICEO TECNOLOGICO BILINGUE CUAUHTEMALLAN DE CHIMALTENANGO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MARVIN RANDY CHUY HERNÁNDEZ,MARVIN RANDY CHUY HERNÁNDEZ,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,18-02-0382-46,18-02-0383-46,COLEGIO PARTICULAR MIXTO MUNDO JUVENIL,COLEGIO PARTICULAR MIXTO MUNDO JUVENIL,NOCTURNA,NOCTURNA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),RAFAEL ELVIN RETANA,RAFAEL ELVIN RETANA,ABIERTA,ABIERTA
100.0,04-01-2747-46,04-01-2934-46,"COLEGIO MIXTO ""SANTA ANA""","COLEGIO MIXTO ""SANTA ANA""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MAURO AROLDO FIGUEROA ZAMORA,MAURO AROLDO FIGUEROA ZAMORA,ABIERTA,ABIERTA
100.0,04-01-0300-46,04-01-0301-46,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,CENTRO EDUCATIVO LA ESCUELA EN SU CASA CHIMALTENANGO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,VANY MAGDAI MORALES HERNANDEZ,VANY MAGDAI MORALES HERNANDEZ,ABIERTA,ABIERTA
100.0,04-01-0264-46,04-01-0266-46,COLEGIO GABRIEL G&R,COLEGIO GABRIEL G&R,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,A DISTANCIA,A DISTANCIA,RUBÉN ANTONIO GÓMEZ PATZAN,RUBÉN ANTONIO GÓMEZ PATZAN,ABIERTA,ABIERTA
100.0,04-01-0199-46,04-01-2294-46,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""","CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""",MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),JOSE EDWIN VILLARREAL AGUILAR,JOSE EDWIN VILLARREAL AGUILAR,ABIERTA,ABIERTA
100.0,04-01-0129-46,04-01-3173-46,INSTITUTO EVANGÉLICO AMÉRICA LATINA,INSTITUTO EVANGÉLICO AMÉRICA LATINA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,AXEL EDUARDO ESTRADA CHÁVEZ,AXEL EDUARDO ESTRADA CHÁVEZ,ABIERTA,ABIERTA
100.0,19-05-0028-46,19-05-0047-46,GETHSEMANE COLLEGE,GETHSEMANE COLLEGE,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),ANA ELIZABETH CHACON,ANA ELIZABETH CHACON,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,19-03-1200-46,19-03-1201-46,LIBERTY COLLEGE,LIBERTY COLLEGE,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MIRIAM CONSUELO CASTAÑEDA ORELLANA,MIRIAM CONSUELO CASTAÑEDA ORELLANA,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
100.0,17-13-0118-46,17-13-0120-46,"COLEGIO DE CIENCIAS COMERCIALES ""LAS CRUCES""","COLEGIO DE CIENCIAS COMERCIALES ""LAS CRUCES""",MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),ARACELI SANDOVAL VÁSQUEZ,ARACELI SANDOVAL VÁSQUEZ,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,19-01-0178-46,19-01-0179-46,LICEO CRISTO REY,LICEO CRISTO REY,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),CLAUDIA AZUCENA DE LOS REYES DÍAZ,CLAUDIA AZUCENA DE LOS REYES DÍAZ,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
100.0,11-01-0170-46,11-01-0171-46,COLEGIO MIXTO CENTROAMERICANO,COLEGIO MIXTO CENTROAMERICANO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,NORMA KARINA YEÉ OLIVA,NORMA KARINA YEÉ OLIVA,ABIERTA,ABIERTA
99.5,10-14-0051-46,10-14-2296-46,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI,INSTITUTO PRIVADO MIXTO DE COMPUTACION INFORMATICA ICI,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,BLANCA DEYCI DE LEÓN LÓPEZ,BLANCA DEYCI DE LEÓN LÓPEZ,ABIERTA,ABIERTA
99.5,19-01-0670-46,19-01-1069-46,INSTITUTO PRIVADO MIXTO DE BACHILLERATO POR MADUREZ CIENCIA Y DESARROLLO,INSTITUTO PRIVADO MIXTO DE BACHILLERATO POR MADUREZ CIENCIA Y DESARROLLO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ANTONIO SALVADOR RAMÍREZ RIVAS,ANTONIO SALVADOR RAMÍREZ RIVAS,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
99.5,00-18-0108-46,00-18-0109-46,"COLEGIO PARTICULAR MIXTO ""SAN RAFAEL""","COLEGIO PARTICULAR MIXTO ""SAN RAFAEL""",MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,OSCAR DAVID RODENAS CUESI,OSCAR DAVID RODENAS CUESI,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
99.4,06-02-0085-46,06-02-1998-46,"INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""","INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA ""CRISTO VIVE""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,JOSÉ ANTONIO CORTÉZ RAMÍREZ,JOSÉ ANTONIO CORTÉZ RAMÍREZ,ABIERTA,ABIERTA
99.4,05-03-0029-46,05-03-0051-46,COLEGIO ITALIANO DEL SUR,COLEGIO ITALIANO DEL SUR,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),LILIAN AMARILIS URRUTIA GONZALEZ,LILIAN AMARILIS URRUTIA GONZALEZ,ABIERTA,ABIERTA
99.4,00-02-0118-46,00-02-8257-46,INSTITUTO GUATEMALTECO DE EDUCACIÓN RADIOFÓNICA IGER,INSTITUTO GUATEMALTECO DE EDUCACIÓN RADIOFÓNICA IGER,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,A DISTANCIA,A DISTANCIA,MÓNICA EUGENIA OBANDO VILLATORO,MÓNICA EUGENIA OBANDO VILLATORO,ABIERTA,ABIERTA
99.4,13-08-0047-46,13-08-7128-46,INSTITUTO PARTICULAR MIXTO INTERCULTURAL CIENCIA Y DESARROLLO,INSTITUTO PARTICULAR MIXTO INTERCULTURAL CIENCIA Y DESARROLLO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ROSALIO TELEGUARIO MAGZUL,ROSALIO TELEGUARIO MAGZUL,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
99.4,00-07-0172-46,00-07-0188-46,LICEO CRISTIANO VERDAD L.C.V.,LICEO CRISTIANO VERDAD L.C.V.,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MARTA AZUCENA PAZ QUIÑONEZ,MARTA AZUCENA PAZ QUIÑONEZ,ABIERTA,ABIERTA
99.4,00-17-0023-46,00-17-0028-46,COLEGIO PANAMERICANO,COLEGIO PANAMERICANO,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),DELFINA MARISOL PAZOS RAMOS,DELFINA MARISOL PAZOS RAMOS,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
99.4,00-17-0028-46,00-17-9767-46,COLEGIO PANAMERICANO,COLEGIO PANAMERICANO,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),DELFINA MARISOL PAZOS RAMOS,DELFINA MARISOL PAZOS RAMOS,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
99.3,05-10-0035-46,05-10-0036-46,"COLEGIO PARTICULAR MIXTO ""IXTAPAN""","COLEGIO PARTICULAR MIXTO ""IXTAPAN""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,VIRGINIA MARLENY JÁUREGUI LÓPEZ,VIRGINIA MARLENY JÁUREGUI LÓPEZ,ABIERTA,ABIERTA
99.3,01-05-0100-46,01-05-0102-46,COLEGIO GUATEMALTECO TIKAL NO. 2,COLEGIO GUATEMALTECO TIKAL NO. 2,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,GRISELDA DEL CARMEN MORALES DEL CID,GRISELDA DEL CARMEN MORALES DEL CID,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
99.3,01-14-0050-46,01-14-0052-46,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,COLEGIO PEDAGOGICO INTEGRAL ALBORADA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,AYLEEN ZUSSETTE VIDAL CONTRERAS,AYLEEN ZUSSETTE VIDAL CONTRERAS,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
99.3,01-08-7781-46,01-08-8248-46,LICEO COMERCIAL TECNOLOGICO EL RODEO,LICEO COMERCIAL TECNOLOGICO EL RODEO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,DESCONOCIDO,DESCONOCIDO,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
99.3,01-08-0755-46,01-08-0756-46,ISEA ROOSEVELT,ISEA ROOSEVELT,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,SEMIPRESENCIAL,SEMIPRESENCIAL,KELITA BETSABÉ NORIEGA MORALES,KELITA BETSABÉ NORIEGA MORALES,ABIERTA,ABIERTA
99.3,01-15-0181-46,01-15-8398-46,COLEGIO BASICO MODERNO PARA COMPUTACION BM-PC,COLEGIO BASICO MODERNO PARA COMPUTACION BM-PC,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,CARLOS ENRIQUE CARDONA MARÍN,CARLOS ENRIQUE CARDONA MARÍN,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
99.3,00-01-8337-46,00-01-8338-46,CENTRO DE ESTUDIOS MERCADLOGICOS Y PUBLICITARIOS,CENTRO DE ESTUDIOS MERCADOLOGICOS Y PUBLICITARIOS,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,DESCONOCIDO,DESCONOCIDO,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
99.3,12-11-0035-46,12-11-0045-46,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA,INSTITUTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),ERIBERTO BALDOMERO MONZÓN MÉNDEZ,ERIBERTO BALDOMERO MONZÓN MÉNDEZ,ABIERTA,ABIERTA
99.2,17-01-0130-46,17-01-1119-46,INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO.,INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,RAFAEL MANUEL BALDIZÓN OZAETA,RAFAEL MANUEL BALDIZÓN OZAETA,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
99.2,14-13-0125-46,14-13-0127-46,CENTRO OFICIAL DE EDUCACIÓN EXTRAESCOLAR -CEEX-,CENTRO OFICIAL DE EDUCACIÓN EXTRAESCOLAR -COEEX-,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MIGUEL DANIEL COBO CETO,MIGUEL DANIEL COBO CETO,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
99.2,12-01-0144-46,12-01-0191-46,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""","COLEGIO PARTICULAR MIXTO ""JERUSALEM""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,DELIA MAEGLI DE LEÓN OVALLE,DELIA MAEGLI DE LEÓN OVALLE,ABIERTA,ABIERTA
99.2,22-12-0051-46,22-12-0052-46,COLEGIO BILINGUE NUEVA ERA,COLEGIO BILINGUE NUEVA ERA,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ASTRID MISHELL BARRENO SARCEÑO,ASTRID MISHELL BARRENO SARCEÑO,ABIERTA,ABIERTA
99.2,00-01-6988-46,00-01-8299-46,INSTITUTO AMERICANO EN CIENCIAS DE COMPUTACION,INSTITUTO AMERICANO EN CIENCIAS DE COMPUTACION,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MARCO ANTONIO CASTAÑEDA FLORES,MARCO ANTONIO CASTAÑEDA FLORES,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
99.2,05-02-0232-46,05-02-0265-46,INSTITUTO TECNOLÓGICO PROESUR,INSTITUTO TECNOLÓGICO PROESUR,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),PEDRO PABLO CRUZ ESPINOZA,PEDRO PABLO CRUZ ESPINOZA,ABIERTA,ABIERTA
99.2,01-13-0081-46,01-13-0139-46,LICEO MIXTO MONTE HOREB,LICEO MIXTO MONTE HOREB,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,KIMBERLI FRANCI ORTIZ PÈREZ,KIMBERLI FRANCI ORTIZ PÈREZ,ABIERTA,ABIERTA
99.1,13-01-0289-46,13-01-1592-46,COLEGIO PRIVADO MIXTO AMERICANO,COLEGIO PRIVADO MIXTO AMERICANO,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),WILLIAM FLORENCIO RAMIREZ RECINOS,WILLIAM FLORENCIO RAMIREZ RECINOS,ABIERTA,ABIERTA
99.1,00-18-0161-46,00-18-0220-46,LICEO CUMORAH PINOS,LICEO CUMORAH PINOS,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARÍA ANTONIA CAP GARCÍA,MARÍA ANTONIA CAP GARCÍA,ABIERTA,ABIERTA
99.1,01-10-0258-46,01-10-0329-46,CENTRO EDUCATIVO PROFESIONAL INTEGRAL (CEPROIN),CENTRO EDUCATIVO PROFESIONAL INTEGRAL (CEPROIN),DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,NANCY KARINA BAC GUAT,NANCY KARINA BAC GUAT,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
99.1,01-10-0078-46,01-10-0220-46,COLEGIO INTELIGENCIAS MULTIPLES,COLEGIO INTELIGENCIAS MULTIPLES,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,CÉSAR ARMANDO CABRERA GARCÍA,CÉSAR ARMANDO CABRERA GARCÍA,ABIERTA,ABIERTA
99.1,00-01-0292-46,00-01-0293-46,COLEGIO EN COMPUTACION SAN JOSE NO. 1,COLEGIO EN COMPUTACION SAN JOSE NO. 1,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,ANA MARIA NORIEGA RODAS,ANA MARIA NORIEGA RODAS,CERRADA DEFINITIVAMENTE,CERRADA DEFINITIVAMENTE
99.1,22-11-0078-46,22-11-0079-46,INSTITUTO PARTICULAR MIXTO DE FORMACIÓN Y DESARROLLO PROFESIONAL INDEFORP,INSTITUTO PARTICULAR MIXTO DE FORMACION Y DESARROLLO PROFESIONAL INDEFORP,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,RAFAEL GONZÁLEZ ANDRINO,RAFAEL GONZÁLEZ ANDRINO,ABIERTA,ABIERTA
99.1,00-18-0155-46,00-18-0220-46,LICEO CUMORAH PINOS,LICEO CUMORAH PINOS,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARÍA ANTONIA CAP GARCÍA,MARÍA ANTONIA CAP GARCÍA,ABIERTA,ABIERTA
99.1,00-18-0154-46,00-18-0220-46,LICEO CUMORAH PINOS,LICEO CUMORAH PINOS,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARÍA ANTONIA CAP GARCÍA,MARÍA ANTONIA CAP GARCÍA,ABIERTA,ABIERTA
99.1,00-01-0482-46,00-01-9116-46,CENTRO EDUCATIVO MIXTO MONTENEVADO,CENTRO EDUCATIVO MIXTO MONTENEVADO,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,SILVIA MARLENI ALVARADO GUARDADO,SILVIA MARLENI ALVARADO GUARDADO,ABIERTA,ABIERTA
99.1,18-01-0343-46,18-01-0344-46,LICEO MIXTO BILINGÜE CANADIENSE,LICEO MIXTO BINLINGÜE CANADIENSE,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,WILMER EZEQUIEL MONGE MARTÍNEZ,WILMER EZEQUIEL MONGE MARTÍNEZ,ABIERTA,ABIERTA
99.0,00-18-0020-46,00-18-0256-46,"LICEO MIXTO EVANGELICO ""FUENTE DE ENSEÑANZA""","LICEO MIXTO EVANGÉLICO ""FUENTE DE ENSEÑANZA""",MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARIA LUISA CHACON ALDANA,MARIA LUISA CHACON ALDANA,ABIERTA,ABIERTA
99.0,13-01-0226-46,13-01-0322-46,CENTRO EDUCATIVO MARRIOT,CENTRO EDUCATIVO MARRIOT,DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MARIO ARNOLDO HERNANDEZ LORENZO,MARIO ARNOLDO HERNANDEZ LORENZO,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
99.0,01-04-0033-46,01-04-0034-46,COLEGIO BALAM,COLEGIO BALAM,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MARÍA JOSÉ PÉREZ ANDRADE,MARÍA JOSÉ PÉREZ ANDRADE,ABIERTA,ABIERTA
99.0,01-04-0035-46,01-04-0038-46,COLEGIO BALAM,COLEGIO BALAM,MATUTINA,MATUTINA,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,MARÍA JOSÉ PÉREZ ANDRADE,MARÍA JOSÉ PÉREZ ANDRADE,ABIERTA,ABIERTA
99.0,16-09-0007-46,16-09-0870-46,CENTRO EDUCATIVO NUEVA VIDA,CENTRO EDUCATIVO NUEVA VIDA,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),JUAN RAX,JUAN RAX,ABIERTA,ABIERTA
99.0,16-09-0844-46,16-09-0863-46,COLEGIO SAGRADA FAMILIA,COLEGIO SAGRADA FAMILIA,VESPERTINA,VESPERTINA,MONOLINGUE,MONOLINGUE,DIARIO(REGULAR),DIARIO(REGULAR),MOISES NICOMEDES PAQUE CAAL,MOISES NICOMEDES PAQUE CAAL,ABIERTA,ABIERTA
99.0,12-26-0048-46,12-26-0050-46,"COLEGIO INTEGRAL ""BLASE PASCAL""","COLEGIO INTEGRAL ""BLASE PASCAL""",DOBLE,DOBLE,MONOLINGUE,MONOLINGUE,FIN DE SEMANA,FIN DE SEMANA,BASILIO SANCHEZ CRUZ,BASILIO SANCHEZ CRUZ,CERRADA TEMPORALMENTE,CERRADA TEMPORALMENTE
